URL,英語タイトル,講演者,投稿済み
https://www.ted.com/talks/david_epstein_the_best_way_to_become_good_at_something_might_surprise_you,The best way to become good at something might surprise you,David Epstein,
https://www.ted.com/talks/varun_sivaram_how_ai_can_solve_its_own_energy_crisis,How AI can solve its own energy crisis,Varun Sivaram,
https://www.ted.com/talks/edith_zimmerman_how_i_broke_my_drinking_habit,How I broke my drinking habit,Edith Zimmerman,
https://www.ted.com/talks/refilwe_ledwaba_how_to_empower_the_next_generation_of_pilots,How to empower the next generation of pilots,Refilwe Ledwaba,
https://www.ted.com/talks/sasha_luccioni_we_re_doing_ai_all_wrong_here_s_how_to_get_it_right,We’re doing AI all wrong. Here’s how to get it right,Sasha Luccioni,
https://www.ted.com/talks/yadvinder_malhi_how_to_measure_the_planet_s_heartbeat,How to measure the planet’s heartbeat,Yadvinder Malhi,
https://www.ted.com/talks/tina_yong_why_colleges_need_to_stop_rewarding_the_trauma_essay,"Why colleges need to stop rewarding the ""trauma essay""",Tina Yong,
https://www.ted.com/talks/cecilia_m_orphan_what_makes_a_college_good,What makes a college “good”?Cecilia M.,Cecilia M Orphan,
https://www.ted.com/talks/jeffrey_angles_japan_s_most_famous_ghost_story,Japan's most famous ghost story,Jeffrey Angles,
https://www.ted.com/talks/christoph_lassner_what_if_you_could_talk_to_your_favorite_character_in_a_movie,What if you could talk to your favorite character in a movie?,Christoph Lassner,
https://www.ted.com/talks/jennifer_pfeifer_the_surprising_science_of_adolescent_brains,The surprising science of adolescent brains,Jennifer Pfeifer,
https://www.ted.com/talks/bonnie_tsui_how_to_use_your_muscles_or_risk_losing_them,How to use your muscles — or risk losing them,Bonnie Tsui,
https://www.ted.com/talks/catherine_nakalembe_how_satellites_are_supporting_farmers_across_africa,How satellites are supporting farmers across Africa,Catherine Nakalembe,
https://www.ted.com/talks/ted_ed_what_s_the_best_way_to_lift_people_out_of_poverty,What’s the best way to lift people out of poverty?,,
https://www.ted.com/talks/troy_vincent_sr_touchdown_the_flag_football_movement_is_here,Touchdown! The flag football movement is hereTroy Vincent Sr.,Troy Vincent Sr,
https://www.ted.com/talks/carolyn_harris_history_vs_russia_s_most_infamous_empress,History vs. Russia’s most infamous empress,Carolyn Harris,
https://www.ted.com/talks/oz_pearlman_the_art_of_reading_minds,The art of reading minds,Oz Pearlman,
https://www.ted.com/talks/mohamed_a_sultan_how_to_pull_the_emergency_brake_on_global_warming,How to pull the emergency brake on global warming,Mohamed,
